City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Gat,IL,75.88,clear sky,31.61,34.76,OlusHome
427,Hobyo,SO,74.75,scattered clouds,5.35,48.53,Iftin hotel hobyo
428,Bay Saint Louis,US,86.09,clear sky,30.31,-89.33,The Abode Guest House
429,Nalut,LY,77.13,clear sky,30.33,10.85,
431,Mahibadhoo,MV,81.16,overcast clouds,3.78,72.97,Omadhoo Inn
433,Kimbe,PG,87.33,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
434,Ust-Maya,RU,83.97,broken clouds,60.42,134.53,
435,Synya,RU,66.02,clear sky,65.37,58.04,
437,Bongandanga,CD,69.53,light rain,1.5,21.05,
438,Boyany,UA,69.33,scattered clouds,48.27,26.13,Bukovina star
439,Kutum,SD,73.2,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
441,Myitkyina,MM,80.35,overcast clouds,25.38,97.4,Shwe Phyu Hotel
442,Touros,BR,72.64,overcast clouds,-5.2,-35.46,INN NEW HORIZON
444,Juba,SS,66.9,scattered clouds,4.85,31.58,ROYAL PALACE HOTEL - JUBA
446,Noumea,NC,80.58,overcast clouds,-22.28,166.46,Hôtel Le Lagon
447,Pedernales,DO,81.93,few clouds,18.04,-71.74,Hotel Costa Marina
448,Concordia,AR,65.79,overcast clouds,-31.39,-58.02,Palmar Hotel Casino
451,Shimoda,JP,79.16,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
452,Puteyets,RU,65.61,clear sky,65.17,57.09,"Sot ""Agrarnik"""
454,Susanville,US,89.44,clear sky,40.42,-120.65,Comfort Inn & Suites
456,Bonthe,SL,74.73,overcast clouds,7.53,-12.51,Bonthe Holiday Village
458,Umm Lajj,SA,84.58,few clouds,25.02,37.27,Moon light Furnished Units
459,Nioro,GM,75.51,light rain,13.35,-15.75,
460,Faya,SA,66.31,overcast clouds,18.39,42.45,أبو تركي للوحدات السكنيه
463,Porto Santo,PT,70.18,broken clouds,33.07,-16.34,Hotel Porto Santo & Spa
464,Basco,PH,85.71,few clouds,20.45,121.97,Nathaniel's Lodge
465,Sao Joao Da Barra,BR,67.03,clear sky,-21.64,-41.05,Pousada Porto De Canoas
466,Jiwani,PK,82.45,overcast clouds,25.05,61.74,Hamza hotel jiwani
467,Pangai,TO,77.11,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
469,Robertsport,LR,76.86,overcast clouds,6.75,-11.37,Kwepunha Retreat
471,Thunder Bay,CA,71.58,broken clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
472,Bolobo,CD,71.67,scattered clouds,-2.17,16.23,Hotel de Stephen
476,College,US,69.58,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
477,Shache,CN,84.43,clear sky,38.42,77.24,Delong Hotel
480,Las Palmas,ES,77.79,clear sky,28.42,-14.01,Casa el Relajo
481,Manggar,ID,82.44,broken clouds,-2.88,108.27,Guest Hotel
482,Ostersund,SE,66.65,light rain,63.18,14.64,Best Western Hotel Gamla Teatern
483,Trinidad,BO,71.24,few clouds,-14.83,-64.9,Hotel Piesta
484,Hearst,CA,66.45,overcast clouds,49.68,-83.67,Companion
485,Tonantins,BR,72.52,overcast clouds,-2.87,-67.8,Hotel Hortensias
487,Newcastle,AU,65.82,light rain,-32.93,151.78,NOAH'S on the beach
488,Obihiro,JP,69.21,broken clouds,42.92,143.2,Tokachi Gardens Hotel
489,Estevan,CA,66.54,clear sky,49.13,-102.98,"Motel 6 Estevan, SK"
490,Fengcheng,CN,71.69,overcast clouds,40.45,124.07,Hanting Hotel Fengcheng Phoenix Station
491,Sabang,ID,83.12,overcast clouds,5.89,95.32,Hotel Citra
492,Sasykoli,RU,71.46,clear sky,47.55,47.0,
493,Wukari,NG,72.27,light rain,7.85,9.78,Elimtop
494,Barranco,PA,75.65,overcast clouds,9.52,-82.7,Casa doña Delfina Jiménez
497,Ayagoz,KZ,81.55,few clouds,47.97,80.44,ХАН
498,Xingyi,CN,69.37,overcast clouds,24.19,102.82,
499,Sal Rei,CV,74.75,scattered clouds,16.18,-22.92,Marine Club Beach Resort
500,Coxim,BR,69.84,few clouds,-18.51,-54.76,Hotel Avenida
501,Vung Tau,VN,82.38,overcast clouds,10.35,107.08,Seaside Resort
504,Puerto Colombia,CO,80.69,broken clouds,10.99,-74.95,Hotel El Emigrante
505,Shuangyang,CN,73.99,moderate rain,43.52,125.67,Boutique Chatelet
506,Kloulklubed,PW,84.7,broken clouds,7.04,134.26,Storyboard Beach Resort
507,Kununurra,AU,85.98,clear sky,-15.77,128.73,Hotel Kununurra
509,Huron,US,78.73,clear sky,41.15,-82.55,Meadow Brook Mobile Estates
512,Itarema,BR,74.66,scattered clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
513,Uhlove,UA,68.02,light rain,44.82,33.6,Tavryda
514,Neiafu,TO,81.28,scattered clouds,-18.65,-173.98,Mystic Sands Beachfront Accommodation
515,Buraydah,SA,82.85,overcast clouds,26.33,43.98,Mövenpick Qassim
516,Mandera,KE,73.0,overcast clouds,3.94,41.87,Red Sea Resort & Suites Mandera County
518,Ayia Galini,GR,73.74,clear sky,35.1,24.68,Sunningdale Bungalows
519,Santa Isabel Do Rio Negro,BR,72.09,overcast clouds,-0.41,-65.02,Hotel GSA
520,Altay,CN,69.48,scattered clouds,47.87,88.12,Jinqiao Hotel
522,Havelock,US,84.18,few clouds,34.88,-76.9,Sherwood Motel
523,Iranshahr,IR,89.94,clear sky,27.2,60.68,پانسیون پزشکان متخصص خاتم
524,Qinggang,CN,83.1,few clouds,46.68,126.08,Gold Hotel
526,Bubaque,GW,77.23,light rain,11.28,-15.83,"Casa Dora, Bubaque"
527,Houma,US,84.02,clear sky,29.6,-90.72,Courtyard by Marriott Houma
528,Bismarck,US,72.81,clear sky,46.81,-100.78,Bismarck Hotel and Conference Center
532,Brownsburg,US,80.38,clear sky,39.84,-86.4,Hampton Inn & Suites Indianapolis/Brownsburg
533,Strezhevoy,RU,66.2,overcast clouds,60.73,77.59,Sibiryachka
534,Kearney,US,79.25,clear sky,40.7,-99.08,"Holiday Inn Kearney, an IHG Hotel"
537,Barra Do Garcas,BR,67.44,clear sky,-15.89,-52.26,Pousada Tropical
538,Praia Da Vitoria,PT,68.76,clear sky,38.73,-27.07,Hotel Branco I
539,Labuhan,ID,83.93,clear sky,-6.88,112.21,DoubleFAG
540,Bilma,NE,86.74,broken clouds,18.69,12.92,Expeditions Ténére voyages
542,Adrar,MR,87.57,broken clouds,20.5,-10.07,
543,Sur,OM,84.52,overcast clouds,22.57,59.53,Sur Plaza Hotel
546,Dalnegorsk,RU,73.6,overcast clouds,44.56,135.57,Dalnegorsk
547,Puerto Del Rosario,ES,80.35,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
548,Norden,DE,67.96,moderate rain,53.6,7.2,Hotel Aquarius
552,Touba,CI,68.41,overcast clouds,8.28,-7.68,Hotel de L'Amitié Vraie
553,Maymyo,MM,75.97,overcast clouds,22.03,96.47,Tiger Hotel
554,Cururupu,BR,73.02,scattered clouds,-1.83,-44.87,POUSADA TRAVÉS'CIA
556,Mayumba,GA,69.19,scattered clouds,-3.43,10.66,LIKWALE LODGE
557,Fethiye,TR,82.27,clear sky,36.62,29.12,Club & Hotel Letoonia
558,Lae,PG,88.47,overcast clouds,-6.72,146.98,Phils Hotel
559,Vao,NC,74.08,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
563,Avera,US,78.85,overcast clouds,33.19,-82.53,
564,Bagdarin,RU,74.44,scattered clouds,54.43,113.6,Gostevoy Dom Terem
568,Siderno,IT,75.34,clear sky,38.28,16.3,Grand Hotel President
569,Novonukutskiy,RU,69.6,overcast clouds,53.7,102.71,Gostinitsa
571,Mayo,US,85.12,clear sky,38.89,-76.51,Resorts Resource Group International
572,La Mesa,US,79.07,few clouds,32.77,-117.02,"Holiday Inn San Diego - la Mesa, an IHG Hotel"
573,Tezu,IN,78.76,overcast clouds,27.92,96.17,Circuit House
574,Soyo,AO,68.45,clear sky,-6.13,12.37,Hospedaria ndozi'ame
575,Atambua,ID,81.48,scattered clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
576,Evensk,RU,68.81,few clouds,61.95,159.23,
